State,Average_avg-Temp,Average-Min Temp,Average-max-temp,avg-precipitation,avg-windSpeed,pH,Clay,Sand,Silt,Crop Yield,Hectare
Taraba,27.56078116,21.25472915,33.86463026,89.97916667,1.850916656,6.216666667,20.66666667,63.16666667,18.33333333,2.389935279,2.622656076
Taraba,27.57496874,22.02002069,33.12638021,112.4375,1.677640612,5.9,18.16666667,51,23.5,2.389935279,2.622656076
Benue,27.58241145,22.49942704,32.66492717,108.0625,1.641526044,6.25,21.5,57,12.66666667,1.10166258,1.097621464
Benue,27.58391158,22.50392707,32.6595937,106.8125,1.661859373,6.1,18.5,51.5,18.16666667,1.10166258,1.097621464
Plateau,27.59487005,21.91409882,33.27907316,98.41666667,1.797296872,5.75,26.33333333,47,24.16666667,2.60302342,1.686767501
Plateau,27.5995365,20.43139583,33.35303136,99.66666667,1.8633333,6.083333333,18.66666667,65.16666667,16.5,2.60302342,1.686767501
Ebonyi,27.62518744,22.98733834,32.26406248,160.7291667,1.358713524,5.583333333,27.33333333,52.33333333,17.83333333,0.349008541,0.297155424
Taraba,27.62976559,21.43752611,33.81966138,90.9375,1.801406239,6.65,19.33333333,52.66666667,21.33333333,2.389935279,2.622656076
Abuja,27.63806772,22.66498971,32.61316657,100.7916667,1.67813542,5.816666667,20.66666667,58.83333333,19.33333333,0.040602622,0.048095096
Abuja,27.65714069,22.43829695,32.87517711,103.9375,1.726598951,5.983333333,14.66666667,63.83333333,17.5,0.040602622,0.048095096
Plateau,27.67003111,22.06795319,33.2632498,107.25,1.80479684,5.866666667,21.83333333,63.83333333,16.5,2.60302342,1.686767501
Kwara,27.67102619,22.20472392,33.01581252,94.16666667,1.831437476,6.1,18.33333333,51,16,0.679907788,0.636513539
